Time,N,Answer,Ratio,Type
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.23,10,21419,1,exact
2.61,11,13631,1,exact
31.25,12,30080,1,exact
406.17,13,22912,1,exact
5518.02,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.05,9,14161,1,exact
0.24,10,21419,1,exact
2.49,11,13631,1,exact
30.47,12,30080,1,exact
400.05,13,22912,1,exact
5555.79,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.22,10,21419,1,exact
2.52,11,13631,1,exact
31.4,12,30080,1,exact
412.98,13,22912,1,exact
5528.39,14,19352,1,exact
1.14,15,25650,1.453504845,approx
5.06,15,23290,1.319771066,approx
10.26,15,21105,1.195953987,approx
30.11,15,21230,1.203037343,approx
60.14,15,18010,1.020570069,approx
300.08,15,18158,1.028956763,approx
600.05,15,17647,1,approx
1200.12,15,18010,1.020570069,approx
1.13,15,21909,1.241514138,approx
5.11,15,23167,1.312801043,approx
10.17,15,22063,1.250240834,approx
30.16,15,21142,1.19805066,approx
60.3,15,19414,1.100130334,approx
300.03,15,18158,1.028956763,approx
600.06,15,18158,1.028956763,approx
1200.11,15,18158,1.028956763,approx
1.19,15,28964,1.641298804,approx
5.06,15,24511,1.388961297,approx
10.27,15,21580,1.222870743,approx
30.25,15,18718,1.060690202,approx
60.06,15,19662,1.114183714,approx
300.06,15,18158,1.028956763,approx
600.05,15,18010,1.020570069,approx
1200.31,15,18577,1.052700176,approx
1.12,15,26347,1.493001643,approx
5.04,15,19120,1.083470278,approx
10.25,15,22040,1.248937496,approx
30.21,15,20215,1.145520485,approx
60.17,15,18907,1.071400238,approx
300.08,15,18010,1.020570069,approx
600.24,15,17647,1,approx
1200.28,15,18158,1.028956763,approx
1.17,15,24774,1.40386468,approx
5.16,15,21599,1.223947413,approx
10.14,15,20690,1.172437241,approx
30.23,15,20420,1.15713719,approx
60.04,15,19058,1.079956933,approx
300.06,15,19082,1.081316938,approx
600.25,15,17647,1,approx
1200.12,15,17647,1,approx
1.14,15,24910,1.411571372,approx
5.04,15,25942,1.470051567,approx
10.08,15,20807,1.179067264,approx
30.07,15,20321,1.151527172,approx
60.18,15,19735,1.118320394,approx
300.22,15,18417,1.043633479,approx
600.17,15,18010,1.020570069,approx
1200.22,15,18010,1.020570069,approx
1.13,15,22947,1.300334334,approx
5.04,15,19105,1.082620275,approx
10.24,15,22109,1.252847509,approx
30.06,15,20131,1.140760469,approx
60.33,15,18744,1.062163541,approx
300.24,15,17647,1,approx
600.27,15,17647,1,approx
1200.12,15,18563,1.05190684,approx
